SCALERANK,NATSCALE,LABELRANK,FEATURECLA,NAME,NAMEPAR,NAMEALT,DIFFASCII,NAMEASCII,ADM0CAP,CAPALT,CAPIN,WORLDCITY,MEGACITY,SOV0NAME,SOV_A3,ADM0NAME,ADM0_A3,ADM1NAME,ISO_A2,NOTE,LATITUDE,LONGITUDE,CHANGED,NAMEDIFF,DIFFNOTE,POP_MAX,POP_MIN,POP_OTHER,RANK_MAX,RANK_MIN,GEONAMEID,MEGANAME,LS_NAME,LS_MATCH,CHECKME,MAX_POP10,MAX_POP20,MAX_POP50,MAX_POP300,MAX_POP310,MAX_NATSCA,MIN_AREAKM,MAX_AREAKM,MIN_AREAMI,MAX_AREAMI,MIN_PERKM,MAX_PERKM,MIN_PERMI,MAX_PERMI,MIN_BBXMIN,MAX_BBXMIN,MIN_BBXMAX,MAX_BBXMAX,MIN_BBYMIN,MAX_BBYMIN,MIN_BBYMAX,MAX_BBYMAX,MEAN_BBXC,MEAN_BBYC,COMPARE,GN_ASCII,FEATURE_CL,FEATURE_CO,ADMIN1_COD,GN_POP,ELEVATION,GTOPO30,TIMEZONE,GEONAMESNO,UN_FID,UN_ADM0,UN_LAT,UN_LONG,POP1950,POP1955,POP1960,POP1965,POP1970,POP1975,POP1980,POP1985,POP1990,POP1995,POP2000,POP2005,POP2010,POP2015,POP2020,POP2025,POP2050,CITYALT,airport,time,valid,timetoairport
10,1,8,Admin-1 capital,Fray Bentos,,,0,Fray Bentos,0,0,,0,0,Uruguay,URY,Uruguay,URY,RRo Negro,UY,,-33.138999,-58.303997,4,1,Added missing admin-1 capital. Population from GeoNames.,23279,23279,0,7,7,3442568,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fray Bentos,P,PPL,12,23279,0,43,America/Montevideo,Geonames ascii name + lat.d + long.d matching.,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,AEP,22.60452766689487,false, 
10,1,8,Admin-1 capital,Colonia del Sacramento,,,0,Colonia del Sacramento,0,0,,0,0,Uruguay,URY,Uruguay,URY,Colonia,UY,,-34.479999,-57.840002,4,1,Added missing admin-1 capital. Population from GeoNames.,21714,21714,0,7,7,3443013,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Colonia del Sacramento,P,PPL,4,21714,0,28,America/Montevideo,Geonames ascii name + lat.d + long.d matching.,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,AEP,22.60452766689487,false, 
10,1,8,Admin-1 capital,Trinidad,,,0,Trinidad,0,0,,0,0,Uruguay,URY,Uruguay,URY,Flores,UY,,-33.543999,-56.900997,4,1,Added missing admin-1 capital. Population from GeoNames.,21093,21093,0,7,7,3439749,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Trinidad,P,PPL,6,21093,0,134,America/Montevideo,Geonames ascii name + lat.d + long.d matching.,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,MVD,25.154565472531484,true,2.7575 
10,1,8,Admin-1 capital,Bassar,,,0,Bassar,0,0,,0,0,Togo,TGO,Togo,TGO,Kara,TG,,9.261,0.789004,4,1,Added missing admin-1 capital. Population from GeoNames.,61845,61845,0,8,8,2367568,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bassar,P,PPL,5,61845,0,463,Africa/Lome,GeoNames match with ascii name + lat + long whole numbers.,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,TML,17.108775578041254,true,3.854444444444445 
10,1,8,Admin-1 capital,Florida,,,0,Florida,0,0,,0,0,Uruguay,URY,Uruguay,URY,Florida,UY,,-34.099002,-56.214998,4,1,Added missing admin-1 capital. Population from GeoNames.,32234,32234,0,7,7,3442585,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Florida,P,PPL,7,32234,0,74,America/Montevideo,Geonames ascii name + lat.d + long.d matching.,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,MVD,23.904843250309263,true,1.5077777777777779 
10,1,8,Admin-1 capital,Canelones,,,0,Canelones,0,0,,0,0,Uruguay,URY,Uruguay,URY,Canelones,UY,,-34.538004,-56.284001,4,1,Added missing admin-1 capital. Population from GeoNames.,19698,19698,0,6,6,3443413,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Canelones,P,PPL,2,19698,0,29,America/Montevideo,Geonames ascii name + lat.d + long.d matching.,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,MVD,23.229565472531483,true,0.8325 
10,1,8,Admin-1 capital,Sotouboua,,,0,Sotouboua,0,0,,0,0,Togo,TGO,Togo,TGO,Centre,TG,,8.557002,0.984996,4,1,Added missing admin-1 capital. Population from GeoNames.,21054,21054,0,7,7,2364079,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sotouboua,P,PPL,22,21054,0,374,Africa/Lome,Geonames ascii name + lat.d + long.d matching.,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,TML,19.073497800263475,true,5.819166666666666 
10,1,7,Admin-1 capital,Medenine,,,0,Medemine,0,0,,0,0,Tunisia,TUN,Tunisia,TUN,MUdenine,TN,,33.399999,10.4167,4,1,Added missing admin-1 capital.,61705,61705,0,8,8,-1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,,"No GeoNames match due to small population, not in GeoNames, or poor NEV placement.",0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,GAE,8.59685365681868,true,0.9888888888888889 
10,1,7,Admin-1 capital,Kebili,,,0,Kebili,0,0,,0,0,Tunisia,TUN,Tunisia,TUN,Kebili,TN,,33.689997,8.971003,4,1,Added missing admin-1 capital. Population from GeoNames.,19875,19875,0,6,6,2468018,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kebili,P,PPL,31,19875,0,49,Africa/Tunis,Geonames ascii name + lat.d + long.d matching.,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,GAF,9.508572524146533,true,1.9547222222222222 
10,1,7,Admin-1 capital,Tataouine,,,0,Tataouine,0,0,,0,0,Tunisia,TUN,Tunisia,TUN,Tataouine,TN,,33.000003,10.466704,4,1,Added missing admin-1 capital. Population from GeoNames.,62577,62577,0,8,8,2464701,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tataouine,P,PPL,34,62577,0,247,Africa/Tunis,GeoNames match with ascii name + lat + long whole numbers.,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,DJE,9.770323765303026,true,2.171111111111111 
