valid,lat,lon,name,adm,airport,allairport,alltime,nonairport,nontime,oneairport,onetime,twoairport,twotime,time
true,9.261,0.789004,Bassar,TGO,,TML,,LOS,,TML,,COO,,19.108858911374586 
true,-34.479999,-57.840002,ColoniadelSacramento,URY,,AEP,,EZE,,AEP,,PDP,,24.202825085012748 
true,-34.099002,-56.214998,Florida,URY,,MVD,,EZE,,MVD,,PDP,,25.904954361420373 
true,-33.138999,-58.303997,FrayBentos,URY,,AEP,,EZE,,AEP,,PRA,,25.955269529457194 
true,-33.543999,-56.900997,Trinidad,URY,,MVD,,EZE,,MVD,,PDP,,26.76546397390164 
true,-34.538004,-56.284001,Canelones,URY,,MVD,,EZE,,MVD,,PDP,,25.229648805864816 
true,8.557002,0.984996,Sotouboua,TGO,,TML,,LOS,,TML,,COO,,20.802924740598666 
true,33.399999,10.4167,Medenine,TUN,,GAE,,TIP,,GAE,,PNL,,10.596853656818682 
true,33.000003,10.466704,Tataouine,TUN,,DJE,,TIP,,DJE,,PNL,,11.770184876414138 
true,33.689997,8.971003,Kebili,TUN,,GAF,,NBE,,GAF,,PNL,,11.508655857479866 
true,36.866673,10.199998,L'Ariana,TUN,,TUN,,TUN,,MIR,,PNL,,7.151247511492337 
true,36.500004,8.749999,Jendouba,TUN,,AAE,,TUN,,AAE,,PNL,,9.377553067047891 
true,35.216703,8.716699,Kasserine,TUN,,TEE,,NBE,,TEE,,PNL,,11.264570514130515 
true,35.016696,9.500004,SdidBouzid,TUN,,GAF,,NBE,,GAF,,PNL,,10.273182047453425 
true,36.083304,9.383302,Siliana,TUN,,NBE,,NBE,,MIR,,PNL,,9.58459871412009 
true,35.483913,11.040877,Mahdia,TUN,,MIR,,NBE,,MIR,,PNL,,9.0382098252312 
true,35.730702,10.767295,Monastir,TUN,,MIR,,NBE,,MIR,,PNL,,8.314015380786756 
true,36.399996,10.146997,Zaghouan,TUN,,NBE,,NBE,,MIR,,PNL,,8.295904269675646 
true,21.740004,103.343005,LuanChau,VNM,,DIN,,BKK,,HAN,,DIN,,25.760550755650378 
true,22.133333,105.833333,BacKan,VNM,,HAN,,CAN,,HAN,,WNH,,23.520356524921667 
true,11.322999,106.147,TayNinh,VNM,,SGN,,BKK,,SGN,,VCA,,24.493424731627854 
true,21.845997,106.757002,LangSon,VNM,,HPH,,CAN,,HAN,,THD,,23.804995413810556 
true,21.328002,103.910005,SonLa,VNM,,DIN,,BKK,,HAN,,DIN,,26.10110652492167 
true,21.817998,105.211,TuyenQuang,VNM,,HAN,,CAN,,HAN,,WNH,,23.081078747143888 
true,21.705003,104.875003,YenBai,VNM,,HAN,,CAN,,HAN,,DIN,,23.047189858255 
true,20.942001,106.331005,HaiDuong,VNM,,HPH,,CAN,,HAN,,THD,,22.51216208047722 
true,20.450304,106.33303,ThaiBinh,VNM,,HPH,,CAN,,HAN,,THD,,23.181106524921667 
true,13.082004,109.315999,TuyHoa,VNM,,TBB,,BKK,,CXR,,TBB,,25.15806231531886 
true,10.969074,106.652746,ThuDauMot,VNM,,SGN,,BKK,,SGN,,VCA,,23.59798028718341 
true,16.849998,107.133301,DongHa,VNM,,HUI,,BKK,,SYX,,HUI,,25.596596214646617 
true,10.467,105.635998,CaoLanh,VNM,,VCA,,BKK,,SGN,,VCA,,25.263146953850075 
true,10.234998,106.374997,TrucGiang,VNM,,SGN,,BKK,,SGN,,VCA,,24.283535842738967 
true,22.663998,106.268005,CaoBang,VNM,,AEB,,CAN,,HAN,,WNH,,25.366689858255 
true,10.256004,105.964003,VinhLong,VNM,,VCA,,BKK,,SGN,,VCA,,24.8603691760723 
true,9.934002,106.334002,TraVinh,VNM,,VCA,,BKK,,SGN,,VCA,,25.21859139829452 
true,15.059997,-87.290001,Yoro,HND,,SAP,,CUN,,SAP,,LCE,,22.824456946689757 
true,14.333004,-88.1667,LaEsperanza,HND,,TGU,,CUN,,TGU,,LCE,,23.10263525763386 
true,14.319999,-87.684003,LaPaz,HND,,TGU,,CUN,,TGU,,LCE,,21.520218590967193 
true,14.919003,-88.236,SantaBarbara,HND,,SAP,,CUN,,SAP,,LCE,,22.0741513911342 
true,14.583303,-88.583301,Gracias,HND,,SAP,,CUN,,SAP,,PLJ,,23.595790280023092 
