destination,route,length,stops
AER,"AER,KIV,LONDON",5.198080017446093,3
KZN,"KZN,SVO,LONDON",5.404299488434299,3
ASF,"ASF,DME,LONDON",6.287507943127185,3
MRV,"MRV,SAW,LONDON",6.22189433854767,3
CEK,"CEK,SVO,LONDON",6.677628771146129,3
OVB,"OVB,LED,LONDON",8.671536487122571,3
DME,"DME,LONDON",4.2287994190830664,2
NBC,"NBC,SVO,LONDON",5.700555684462651,3
UUA,"UUA,DME,LONDON",5.814540109047301,3
EGO,"EGO,KGD,TXL,LONDON",4.42987483100664,4
KGD,"KGD,TXL,LONDON",2.4767396537070105,3
GYD,"GYD,LONDON",6.66049735268151,2
LED,"LED,LONDON",3.5088695248880595,2
SVX,"SVX,LED,LONDON",6.510558300669777,3
NJC,"NJC,SVO,LONDON",8.003250982621644,3
NUX,"NUX,SVO,LONDON",8.040923594806715,3
BTK,"BTK,VKO,LONDON",10.591617572988563,3
IKT,"IKT,KJA,LED,LONDON",10.90677340164984,4
HTA,"HTA,UUD,KJA,LED,LONDON",11.916241054899498,5
ODO,"ODO,IKT,KJA,LED,LONDON",12.327010416458936,5
UKX,"UKX,IKT,KJA,LED,LONDON",11.767786645876058,5
ULK,"ULK,IKT,KJA,LED,LONDON",12.797957584589984,5
YKS,"YKS,LED,LONDON",11.578109554730336,3
MJZ,"MJZ,DME,LONDON",11.181295096617493,3
AYP,"AYP,LIM,CCS,PMV,GND,UVF,LONDON",17.836562986016535,7
LIM,"LIM,CCS,PMV,GND,UVF,LONDON",17.269927265031832,6
CUZ,"CUZ,LIM,CCS,PMV,GND,UVF,LONDON",18.24644757697371,7
PEM,"PEM,LIM,CCS,PMV,GND,UVF,LONDON",18.701849226717805,7
HUU,"HUU,LIM,CCS,PMV,GND,UVF,LONDON",17.700186805165732,7
IQT,"IQT,PTY,PUJ,LONDON",16.7619493205005,4
PCL,"PCL,IQT,PTY,PUJ,LONDON",17.644533676967026,5
TPP,"TPP,IQT,PTY,PUJ,LONDON",17.520052779276128,5
ABJ,"ABJ,ORY,LONDON",8.728803584569249,3
BOY,"BOY,OUA,ALG,LONDON",7.925987017124297,4
OUA,"OUA,ALG,LONDON",7.368851441082801,3
ACC,"ACC,LONDON",8.510840561651833,2
BKO,"BKO,CMN,LONDON",7.364449374322513,3
DKR,"DKR,LIS,LONDON",7.2800836545319685,3
COO,"COO,NIM,ALG,LONDON",8.415779547571091,4
LFW,"LFW,CDG,LONDON",8.524529842521627,3
NIM,"NIM,ALG,LONDON",7.094958254097561,3
BOG,"BOG,PUJ,LONDON",14.25380453903362,3
GYE,"GYE,BOG,PUJ,LONDON",15.910355776335908,4
UIO,"UIO,BOG,PUJ,LONDON",15.458524643421653,4
CLO,"CLO,BOG,PUJ,LONDON",14.719314759157678,4
